_id,slug,name,price,costPrice,stock,brand,collectionName
"6a0b05678ad9b7b29cc1b295","blancpain-masterpiece-1-awr6iq","Blancpain Masterpiece 1","493240000","","90","69c3f0e1acb3f56aea328c8f",""
"6a0b05678ad9b7b29cc1b296","audemars-piguet-seamaster-2-w7oed9","Audemars Piguet Seamaster 2","427260000","","79","69c3f0dfacb3f56aea328c71",""
"6a0b05678ad9b7b29cc1b297","patek-philippe-masterpiece-3-qtkova","Patek Philippe Masterpiece 3","279030000","","55","69c3f0dfacb3f56aea328c7b",""
"6a0b05678ad9b7b29cc1b298","rolex-aviator-4-jz1kk","Rolex Aviator 4","388930000","","28","69c3f0deacb3f56aea328c6d",""
"6a0b05678ad9b7b29cc1b299","blancpain-chronograph-5-zymsmq","Blancpain Chronograph 5","169280000","","93","69c3f0e1acb3f56aea328c8f",""
"6a0b05678ad9b7b29cc1b29a","cartier-chronograph-6-seeza","Cartier Chronograph 6","77920000","","77","69c3f0e0acb3f56aea328c87",""
"6a0b05678ad9b7b29cc1b29b","rolex-chronograph-7-q84oxa","Rolex Chronograph 7","97750000","","65","69c3f0deacb3f56aea328c6d",""
"6a0b05678ad9b7b29cc1b29c","blancpain-chronograph-8-b1j7o","Blancpain Chronograph 8","183770000","","62","69c3f0e1acb3f56aea328c8f",""
"6a0b05678ad9b7b29cc1b29d","cartier-nautilus-9-sdllad","Cartier Nautilus 9","491620000","","72","69c3f0e0acb3f56aea328c87",""
"6a0b05678ad9b7b29cc1b29e","rolex-submariner-10-knnw6","Rolex Submariner 10","88110000","","52","69c3f0deacb3f56aea328c6d",""
"6a0b05678ad9b7b29cc1b29f","blancpain-nautilus-11-4frllt","Blancpain Nautilus 11","139740000","","41","69c3f0e1acb3f56aea328c8f",""
"6a0b05678ad9b7b29cc1b2a0","blancpain-pro-12-rkabd8","Blancpain Pro 12","369750000","","94","69c3f0e1acb3f56aea328c8f",""
"6a0b05678ad9b7b29cc1b2a1","patek-philippe-pro-13-2fthsc","Patek Philippe Pro 13","349580000","","81","69c3f0dfacb3f56aea328c7b",""
"6a0b05678ad9b7b29cc1b2a2","rolex-masterpiece-14-bejnyl","Rolex Masterpiece 14","465050000","","97","69c3f0deacb3f56aea328c6d",""
"6a0b05678ad9b7b29cc1b2a3","audemars-piguet-seamaster-15-759ncj","Audemars Piguet Seamaster 15","498370000","","82","69c3f0dfacb3f56aea328c71",""
"6a0b05678ad9b7b29cc1b2a4","cartier-masterpiece-16-lgyb2","Cartier Masterpiece 16","342030000","","56","69c3f0e0acb3f56aea328c87",""
"6a0b05678ad9b7b29cc1b2a5","rolex-pro-17-95vjl5","Rolex Pro 17","196320000","","77","69c3f0deacb3f56aea328c6d",""
"6a0b05678ad9b7b29cc1b2a6","patek-philippe-pro-18-kko5o","Patek Philippe Pro 18","313840000","","88","69c3f0dfacb3f56aea328c7b",""
"6a0b05678ad9b7b29cc1b2a7","patek-philippe-seamaster-19-eib0oi","Patek Philippe Seamaster 19","370750000","","62","69c3f0dfacb3f56aea328c7b",""
"6a0b05678ad9b7b29cc1b2a8","cartier-submariner-20-ifqp17","Cartier Submariner 20","302470000","","48","69c3f0e0acb3f56aea328c87",""
